idx,status,r_LE_sup,r_LE_inf,delta_y,t_01,t_05,t_max,x_tmax,t_min,c_max,x_cmax,camber_085,dcamber_te,clmax,alpha_clmax,situacao,confiavel,n_pontos,n_buracos,alpha_max_conv,incl_linear,incl_fim,razao_incl,tentativas,passo_final,Au0,Au1,Au2,Au3,Al0,Al1,Al2,Al3
36,ok,0.0352247,0.0567545,4.90729,0.0596935,0.128177,0.212768,0.262572,0.015525,-0.0193526,0.253978,0.0120398,-0.110184,1.9198,21.5,queda,1,57,4,30,0.111187,-0.01552,-0.139585,1,0.5,0.265423,0.225182,0.129204,0.428355,-0.336911,-0.401898,-0.153171,-0.115234
37,ok,0.0366131,0.0622596,5.24939,0.0611485,0.126515,0.191784,0.255689,0.0143576,-0.00836844,0.782663,-0.00759388,0.0621338,1.6026,20.5,queda,1,58,3,30,0.107083,-0.02536,-0.236826,1,0.5,0.270604,0.294742,0.175163,0.167693,-0.352873,-0.133024,-0.253297,-0.319815
38,ok,0.0476776,0.054793,5.30091,0.0626429,0.129088,0.207094,0.321427,0.00970462,-0.00987331,0.243791,0.00383543,-0.0296249,2.0746,23,queda,1,58,3,30,0.113524,-0.03664,-0.322751,1,0.5,0.308796,0.134528,0.397829,0.176216,-0.331038,-0.263827,-0.324505,-0.112511
39,ok,0.00920645,0.0775987,3.70702,0.0533599,0.121652,0.257455,0.330631,0.0137283,0.0288032,0.665669,0.018923,-0.135184,1.6574,26,queda,1,54,5,30,0.0529099,-0.0516857,-0.976863,1,0.5,0.135694,0.42079,0.42291,0.367698,-0.393951,-0.426653,-0.110294,-0.0856143
40,ok,0.0214065,0.0078318,4.7589,0.0343025,0.0852509,0.26219,0.41017,0.0142257,0.00909706,0.150636,-0.00118441,0.0185304,nan,nan,vazia,0,0,0,nan,nan,nan,nan,2,0.25,0.206913,0.40896,0.457439,0.183971,-0.125154,-0.408695,-0.366297,-0.26059
41,ok,0.0627356,0.0296663,6.94105,0.0592523,0.127373,0.213276,0.262572,0.00539594,0.0270827,0.336185,0.0128316,-0.0992844,1.9807,16.5,queda,1,56,3,29.5,0.126588,-0.01344,-0.106171,1,0.5,0.354219,0.406013,0.212508,0.205544,-0.243583,-0.21831,-0.143436,0.0419161
42,ok,0.0576208,0.0354792,6.78025,0.0605611,0.134208,0.254003,0.308658,0.0226268,0.00899413,0.128866,0.00207758,-0.02683,1.3134,17.5,queda,1,49,8,30,0.0835806,-0.03392,-0.405836,1,0.5,0.339473,0.427616,0.146168,0.448777,-0.26638,-0.380129,-0.260302,-0.344265
43,ok,0.00973005,0.014342,2.94583,0.0314394,0.0741127,0.169134,0.334331,0.01036,-0.0171239,0.305036,0.00276575,-0.0300279,1.6224,18.5,queda,1,43,2,22,0.114514,-0.0949714,-0.829341,1,0.5,0.139499,0.214455,0.138153,0.222306,-0.169364,-0.390671,-0.158498,-0.129776
44,ok,0.0858063,0.0727171,6.95966,0.0777779,0.158832,0.226802,0.222215,0.0151776,-0.0110871,0.396684,-0.00442096,0.0353218,1.993,21,queda,1,56,4,29.5,0.11124,0.00122857,0.0110444,1,0.5,0.414262,0.158001,0.23566,0.209413,-0.381358,-0.301497,-0.226723,-0.305028
45,ok,0.0136652,0.0403434,3.76896,0.0445306,0.0958146,0.171336,0.317765,0.0137369,0.0226283,0.523553,0.010062,-0.068675,1.833,21.5,queda,1,59,2,30,0.0840462,-0.09532,-1.13414,1,0.5,0.165319,0.32334,0.272853,0.304277,-0.284054,-0.14126,-0.122317,-0.16338
