perfil,x,y
otimizado,0.96909567,0.00508295
otimizado,0.97240302,0.00447577
otimizado,0.97552826,0.00391480
otimizado,0.97847017,0.00339845
otimizado,0.98122762,0.00292512
otimizado,0.98379955,0.00249318
otimizado,0.98618496,0.00210102
otimizado,0.98838294,0.00174705
otimizado,0.99039264,0.00142973
otimizado,0.99221328,0.00114757
otimizado,0.99384417,0.00089919
otimizado,0.99528467,0.00068329
otimizado,0.99653423,0.00049870
otimizado,0.99759236,0.00034435
otimizado,0.99845867,0.00021935
otimizado,0.99913281,0.00012293
otimizado,0.99961452,0.00005449
otimizado,0.99990362,0.00001360
otimizado,1.00000000,0.00000000
cusp_liberado,1.00000000,0.00000000
cusp_liberado,0.99990362,0.00001380
cusp_liberado,0.99961452,0.00005500
cusp_liberado,0.99913281,0.00012309
cusp_liberado,0.99845867,0.00021719
cusp_liberado,0.99759236,0.00033605
cusp_liberado,0.99653423,0.00047813
cusp_liberado,0.99528467,0.00064152
cusp_liberado,0.99384417,0.00082403
cusp_liberado,0.99221328,0.00102314
cusp_liberado,0.99039264,0.00123606
cusp_liberado,0.98838294,0.00145972
cusp_liberado,0.98618496,0.00169081
cusp_liberado,0.98379955,0.00192580
cusp_liberado,0.98122762,0.00216093
cusp_liberado,0.97847017,0.00239227
cusp_liberado,0.97552826,0.00261573
cusp_liberado,0.97240302,0.00282710
cusp_liberado,0.96909567,0.00302204
cusp_liberado,0.96560747,0.00319614
cusp_liberado,0.96193977,0.00334495
cusp_liberado,0.95809398,0.00346400
cusp_liberado,0.95407159,0.00354880
cusp_liberado,0.94987414,0.00359491
cusp_liberado,0.94550326,0.00359796
cusp_liberado,0.94096063,0.00355365
cusp_liberado,0.93624800,0.00345783
cusp_liberado,0.93136719,0.00330645
cusp_liberado,0.92632008,0.00309567
cusp_liberado,0.92110862,0.00282182
cusp_liberado,0.91573481,0.00248147
cusp_liberado,0.91020072,0.00207141
cusp_liberado,0.90450850,0.00158871
cusp_liberado,0.89866033,0.00103072
cusp_liberado,0.89265847,0.00039508
cusp_liberado,0.88650523,-0.00032023
cusp_liberado,0.88020298,-0.00111691
cusp_liberado,0.87375416,-0.00199632
cusp_liberado,0.86716125,-0.00295945
cusp_liberado,0.86042680,-0.00400693
cusp_liberado,0.85355339,-0.00513902
cusp_liberado,0.84654368,-0.00635559
cusp_liberado,0.83940037,-0.00765614
cusp_liberado,0.83212622,-0.00903980
cusp_liberado,0.82472402,-0.01050529
cusp_liberado,0.81719664,-0.01205097
cusp_liberado,0.80954697,-0.01367484
cusp_liberado,0.80177797,-0.01537451
cusp_liberado,0.79389263,-0.01714726
cusp_liberado,0.78589398,-0.01899001
cusp_liberado,0.77778512,-0.02089935
cusp_liberado,0.76956916,-0.02287157
cusp_liberado,0.76124928,-0.02490264
cusp_liberado,0.75282869,-0.02698827
cusp_liberado,0.74431062,-0.02912388
cusp_liberado,0.73569837,-0.03130467
cusp_liberado,0.72699525,-0.03352561
cusp_liberado,0.71820462,-0.03578147
cusp_liberado,0.70932987,-0.03806685
cusp_liberado,0.70037442,-0.04037620
cusp_liberado,0.69134172,-0.04270384
cusp_liberado,0.68223525,-0.04504399
cusp_liberado,0.67305853,-0.04739079
cusp_liberado,0.66381509,-0.04973834
cusp_liberado,0.65450850,-0.05208070
cusp_liberado,0.64514234,-0.05441194
cusp_liberado,0.63572022,-0.05672617
cusp_liberado,0.62624579,-0.05901751
cusp_liberado,0.61672268,-0.06128021
cusp_liberado,0.60715458,-0.06350856
cusp_liberado,0.59754516,-0.06569701
cusp_liberado,0.58789814,-0.06784015
cusp_liberado,0.57821723,-0.06993272
cusp_liberado,0.56850617,-0.07196964
cusp_liberado,0.55876870,-0.07394604
cusp_liberado,0.54900857,-0.07585728
cusp_liberado,0.53922955,-0.07769892
cusp_liberado,0.52943540,-0.07946682
cusp_liberado,0.51962991,-0.08115705
cusp_liberado,0.50981685,-0.08276599
cusp_liberado,0.50000000,-0.08429028
cusp_liberado,0.49018315,-0.08572686
cusp_liberado,0.48037009,-0.08707298
cusp_liberado,0.47056460,-0.08832617
cusp_liberado,0.46077045,-0.08948428
cusp_liberado,0.45099143,-0.09054548
cusp_liberado,0.44123130,-0.09150823
cusp_liberado,0.43149383,-0.09237130
cusp_liberado,0.42178277,-0.09313379
cusp_liberado,0.41210186,-0.09379507
cusp_liberado,0.40245484,-0.09435482
cusp_liberado,0.39284542,-0.09481302
cusp_liberado,0.38327732,-0.09516993
cusp_liberado,0.37375421,-0.09542607
cusp_liberado,0.36427978,-0.09558224
cusp_liberado,0.35485766,-0.09563948
cusp_liberado,0.34549150,-0.09559907
cusp_liberado,0.33618491,-0.09546254
cusp_liberado,0.32694147,-0.09523162
cusp_liberado,0.31776475,-0.09490824
cusp_liberado,0.30865828,-0.09449451
cusp_liberado,0.29962558,-0.09399273
cusp_liberado,0.29067013,-0.09340535
cusp_liberado,0.28179538,-0.09273495
